Date,DBREALTY.NS,ANANTRAJ.NS,PRESTIGE.NS,GRANULES.NS,EIDPARRY.NS,TRENT.NS,SRF.NS,PHOENIXLTD.NS,BBTC.NS,TRIVENI.NS,OLECTRA.NS,WIPRO.NS,SWANENERGY.NS,TATAMOTORS.NS,MCX.NS,INDIANB.NS,SCHNEIDER.NS,INFY.NS,KEC.NS,SIEMENS.NS,NAVA.NS,ESCORTS.NS,SOBHA.NS,BRIGADE.NS,ZFCVINDIA.NS,SONATSOFTW.NS,PETRONET.NS,KIRLOSBROS.NS,RADICO.NS,APLAPOLLO.NS,TATASTEEL.NS,NHPC.NS,ULTRACEMCO.NS,POLYMED.NS,NTPC.NS,ENDURANCE.NS,BPCL.NS,BAJAJ-AUTO.NS,KNRCON.NS,NBCC.NS,KIRLOSENG.NS,DRREDDY.NS,GODREJPROP.NS,ALKYLAMINE.NS,ICICIPRULI.NS,WOCKPHARMA.NS,KANSAINER.NS,TRITURBINE.NS,GUJGASLTD.NS,HEROMOTOCO.NS,CAPLIPOINT.NS,ELGIEQUIP.NS,CUB.NS,CARBORUNIV.NS,COLPAL.NS,ITI.NS,WELSPUNLIV.NS,TARIL.NS,JUSTDIAL.NS,CROMPTON.NS,RBLBANK.NS,BATAINDIA.NS,RAMCOCEM.NS,SCHAEFFLER.NS,SUZLON.NS,RELIANCE.NS,COFORGE.NS,INOXWIND.NS,CHENNPETRO.NS,LTTS.NS,CCL.NS,IOC.NS,ZENSARTECH.NS,OIL.NS,HDFCBANK.NS,RECLTD.NS,PATANJALI.NS,JSWHL.NS,GODREJCP.NS,CANFINHOME.NS,CASTROLIND.NS,J&KBANK.NS,ALOKINDS.NS,ADANIPORTS.NS,ALKEM.NS,M&MFIN.NS,MOTHERSON.NS,LAURUSLABS.NS,GODFRYPHLP.NS,ASTRAL.NS,ZYDUSLIFE.NS,GRAPHITE.NS,CUMMINSIND.NS,AUROPHARMA.NS,IDFCFIRSTB.NS,TITAN.NS,BHEL.NS,MOTILALOFS.NS,UNOMINDA.NS,PEL.NS,SHREECEM.NS,LUPIN.NS,BEL.NS,BLUEDART.NS,COALINDIA.NS,MARICO.NS,MASTEK.NS,NCC.NS,GLAXO.NS,GLENMARK.NS,SUNPHARMA.NS,AIAENG.NS,INDUSTOWER.NS,EICHERMOT.NS,JSWSTEEL.NS,TORNTPHARM.NS,RPOWER.NS,MINDACORP.NS,TATAELXSI.NS,3MINDIA.NS,HINDCOPPER.NS,SAREGAMA.NS,JYOTHYLAB.NS,LALPATHLAB.NS,KOTAKBANK.NS,GRAVITA.NS,ZEEL.NS,CHAMBLFERT.NS,PGEL.NS,INDIGO.NS,M&M.NS,INDUSINDBK.NS,ASTRAZEN.NS,ASAHIINDIA.NS,CENTRALBK.NS,ENGINERSIN.NS,RKFORGE.NS,ECLERX.NS,ABBOTINDIA.NS,MPHASIS.NS,MRF.NS,NAUKRI.NS,SARDAEN.NS,PFC.NS,GPPL.NS,PNB.NS,VOLTAS.NS,SOLARINDS.NS,LT.NS,BIOCON.NS,APOLLOTYRE.NS,PCBL.NS,KEI.NS,GAIL.NS,NESTLEIND.NS,SUNDRMFAST.NS,AXISBANK.NS,MMTC.NS,RENUKA.NS,BALRAMCHIN.NS,TTML.NS,SYNGENE.NS,WHIRLPOOL.NS,UNIONBANK.NS,JWL.NS,BSOFT.NS,YESBANK.NS,HINDPETRO.NS,AJANTPHARM.NS,BHARTIARTL.NS,ABREL.NS,CYIENT.NS,RCF.NS,APARINDS.NS,BRITANNIA.NS,JMFINANCIL.NS,GMRAIRPORT.NS,GVT&D.NS,DLF.NS,HCLTECH.NS,SKFINDIA.NS,BERGEPAINT.NS,GSPL.NS,EXIDEIND.NS,HFCL.NS,DEEPAKFERT.NS,JUBLFOOD.NS,FINCABLES.NS,TITAGARH.NS,KAJARIACER.NS,EMAMILTD.NS,JBCHEPHARM.NS,CRISIL.NS,MANAPPURAM.NS,SAMMAANCAP.NS,NATIONALUM.NS,TVSMOTOR.NS,GILLETTE.NS,ADANIPOWER.NS,JKTYRE.NS,TATAPOWER.NS,LICHSGFIN.NS,CGCL.NS,APLLTD.NS,LTF.NS,CHOLAHLDNG.NS,NETWORK18.NS,OBEROIRLTY.NS,TATAINVEST.NS,GNFC.NS,NAVINFLUOR.NS,NEULANDLAB.NS,JUBLPHARMA.NS,CENTURYPLY.NS,GRASIM.NS,BOSCHLTD.NS,GESHIP.NS,HINDZINC.NS,PIDILITIND.NS,HEG.NS,SUPREMEIND.NS,IGL.NS,FEDERALBNK.NS,EIHOTEL.NS,BANKINDIA.NS,MFSL.NS,PFIZER.NS,VEDL.NS,TATACHEM.NS,ASHOKLEY.NS,HAVELLS.NS,NH.NS,BALKRISIND.NS,IRB.NS,DCMSHRIRAM.NS,APOLLOHOSP.NS,HINDUNILVR.NS,NMDC.NS,TATACOMM.NS,TRIDENT.NS,VBL.NS,ONGC.NS,PAGEIND.NS,FACT.NS,INDIACEM.NS,HINDALCO.NS,SJVN.NS,INDHOTEL.NS,NLCINDIA.NS,JINDALSAW.NS,CONCOR.NS,PNBHOUSING.NS,VGUARD.NS,JINDALSTEL.NS,PRAJIND.NS,POWERGRID.NS,SCI.NS,ACC.NS,JSL.NS,TATACONSUM.NS,USHAMART.NS,FINPIPE.NS,FSL.NS,IDBI.NS,GPIL.NS,MUTHOOTFIN.NS,COROMANDEL.NS,WELCORP.NS,IOB.NS,DEEPAKNTR.NS,OFSS.NS,HONAUT.NS,JBMA.NS,TCS.NS,CIPLA.NS,SUNTV.NS,SHRIRAMFIN.NS,BAJAJFINSV.NS,GMDCLTD.NS,TANLA.NS,ZENTEC.NS,MAHSEAMLES.NS,IDEA.NS,REDINGTON.NS,ASIANPAINT.NS,MARUTI.NS,IPCALAB.NS,MAHABANK.NS,CESC.NS,BANKBARODA.NS,ITC.NS,SUNDARMFIN.NS,GODREJIND.NS,BLS.NS,NATCOPHARM.NS,UCOBANK.NS,THERMAX.NS,RAYMOND.NS,TECHM.NS,VTL.NS,POONAWALLA.NS,HSCL.NS,CANBK.NS,TECHNOE.NS,ADANIENT.NS,CEATLTD.NS,ABB.NS,LINDEINDIA.NS,CHOLAFIN.NS,ACE.NS,ELECON.NS,IFCI.NS,BAJFINANCE.NS,BLUESTARCO.NS,LTIM.NS,TIMKEN.NS,MRPL.NS,RHIM.NS,PNCINFRA.NS,IIFL.NS,KARURVYSYA.NS,UPL.NS,PERSISTENT.NS,MGL.NS,TORNTPOWER.NS,BEML.NS,PIIND.NS,BAJAJHLDNG.NS,ABFRL.NS,DIVISLAB.NS,JKCEMENT.NS,JSWENERGY.NS,INTELLECT.NS,DABUR.NS,BHARATFORG.NS,UBL.NS,CGPOWER.NS,SAIL.NS,SBIN.NS,KPRMILL.NS,FORTIS.NS,ATUL.NS,CERA.NS,ICICIBANK.NS,BAYERCROP.NS,AARTIIND.NS,JPPOWER.NS,RTNINDIA.NS,BASF.NS,AMBUJACEM.NS
2017-01-16 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-18 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-23 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-27 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,0.07692307692307693,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,0.07692307692307693,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,0.07692307692307693,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,
2017-02-02 09:15:00,,,,,,,,,,,,,,,,,,,,,,0.009615384615384616,,,,,,,,,,,0.009615384615384616,,,,,,,,,,0.009615384615384616,0.009615384615384616,,,,,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,0.009615384615384616,,,,0.009615384615384616,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0
2017-02-03 09:15:00,,,,,,,,,,0.07692307692307693,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,
2017-02-06 09:15:00,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,
2017-02-07 09:15:00,0.009615384615384616,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2017-02-08 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2017-02-09 09:15:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10 09:15:00,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2017-02-14 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2017-02-15 09:15:00,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-16 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2017-02-20 09:15:00,,,,,,,,,0.009615384615384616,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-21 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
